Antibody RRID	Reliability (IF)
HPA052592: 	Approved
HPA053865: 	Approved
HPA034821: AB_10669897, HPA041444: 	Supported
HPA003362: 	Approved
HPA055246: , HPA058386: 	Approved
HPA025071: AB_1848461	Approved
HPA003363: AB_1078831	Approved
HPA040730: AB_10959311	Approved
HPA049390: 	Approved
HPA049775: , HPA054782: 	Approved
CAB008106: AB_828450, HPA029048: AB_10602132	Supported
CAB034296: AB_2102563, HPA032113: , HPA032114: AB_10696202	Supported
HPA002885: AB_1078835	Approved
HPA064246: 	Approved
HPA047457: 	Approved
HPA062578: , HPA072204: 	Approved
HPA067878: 	Approved
HPA043496: 	Approved
HPA046615: AB_10965648	Approved
CAB013793: AB_2533451, CAB029987: AB_2246842	Supported
HPA038850: , HPA038851: AB_10673479	Supported
HPA042087: AB_10794168	Approved
HPA014050: AB_1846338	Supported
HPA046681: AB_10960541	Approved
HPA003517: AB_1078838, HPA003564: AB_2231648	Approved
HPA010718: AB_1078463, HPA010776: , HPA014730: 	Supported
HPA041653: AB_10795641, HPA062981: 	Enhanced
HPA037685: AB_2675610, HPA037686: AB_10673636, HPA077850: 	Approved
HPA043795: AB_10963435	Approved
HPA038545: , HPA038546: AB_10673013	Approved
HPA003910: AB_1078798	Approved
CAB026139: 	Supported
HPA008874: AB_1078844	Supported
HPA028200: AB_10612109	Approved
HPA041630: AB_10793970, HPA062087: AB_2630366	Enhanced
HPA039012: AB_10670916, HPA061375: 	Uncertain
CAB008597: AB_1615557, CAB009818: AB_2102601, HPA044393: AB_2678927, HPA053673: AB_2682225	Enhanced
HPA016565: AB_1848489, HPA063622: 	Supported
HPA041920: AB_10796788, HPA042192: AB_10796574	Supported
HPA059919: , HPA060977: 	Enhanced
CAB002262: AB_563729, HPA006748: AB_1848494	Enhanced
CAB022464: , HPA007641: AB_1078845	Supported
HPA040505: AB_10673300	Supported
HPA065231: 	Approved
HPA001376: AB_1078847	Approved
HPA067679: 	Supported
HPA038490: AB_10672647, HPA076844: 	Supported
HPA035978: AB_10672235	Approved
HPA064639: , HPA073693: 	Supported
HPA042563: AB_10794762	Uncertain
CAB016776: , HPA051370: , HPA064755: 	Approved
CAB008624: AB_1615610, HPA001900: AB_1078865, HPA001901: AB_1078864	Enhanced
HPA000911: AB_1078853	Approved
HPA020963: , HPA021018: 	Approved
HPA039235: AB_10673420	Supported
HPA014436: , HPA014536: AB_1848518, HPA019191: AB_1848519	Supported
HPA007974: AB_1848520	Approved
CAB017519: AB_629473, HPA003265: AB_1848522	Supported
HPA066605: , HPA075188: 	Approved
HPA071557: 	Approved
HPA002809: AB_1078855	Supported
HPA049828: 	Approved
CAB000125: , HPA065502: 	Supported
CAB010313: AB_2102677, HPA042442: 	Supported
HPA043605: AB_10960215	Approved
HPA071876: 	Supported
HPA038308: AB_10672524, HPA038696: AB_10675948	Approved
CAB010886: AB_259379, HPA035305: AB_10672862	Supported
CAB004231: AB_627596, HPA067204: 	Supported
CAB026019: , HPA068828: 	Supported
CAB033120: AB_2103818, HPA027529: AB_10601322, HPA074638: 	Approved
HPA054971: 	Approved
HPA002024: AB_1078503	Approved
CAB017785: , HPA025770: AB_10599603, HPA025948: AB_10602177, HPA027341: AB_10601222	Enhanced
CAB002684: , HPA018840: AB_1848538, HPA018909: AB_1848537	Approved
CAB020817: , HPA001040: AB_1848541, HPA001391: AB_1848542	Supported
CAB008368: AB_591383, HPA005922: AB_1078860, HPA006028: AB_1078858	Enhanced
HPA045723: AB_10966278	Approved
HPA024468: AB_1848568	Supported
HPA055353: 	Supported
HPA011729: AB_1848579	Supported
HPA021390: AB_1851340, HPA071134: 	Approved
CAB017823: , HPA068859: 	Approved
HPA034987: AB_10669681, HPA057919: 	Approved
HPA053564: 	Approved
HPA043133: AB_10793991	Approved
HPA037475: AB_10696933, HPA058202: 	Enhanced
HPA017430: AB_1848608	Supported
HPA074026: 	Approved
HPA059220: 	Approved
HPA051171: , HPA057021: 	Approved
HPA041709: AB_10794487	Approved
HPA013329: AB_1848613, HPA026829: AB_10601651	Approved
HPA007979: AB_1848615	Approved
HPA045572: , HPA051798: 	Approved
CAB025561: , HPA049405: 	Approved
CAB012232: , CAB012520: AB_873554, HPA000864: AB_1078873	Supported
CAB017441: AB_10618759, HPA006148: AB_1078875, HPA062857: 	Enhanced
CAB009315: AB_2278350, HPA031092: AB_10600195, HPA031093: AB_10601748, HPA031095: 	Enhanced
HPA008707: AB_1848624	Supported
CAB025346: , HPA045177: 	Supported
HPA012595: AB_1848629, HPA055256: 	Approved
HPA043478: , HPA060158: 	Approved
HPA043115: , HPA060454: 	Approved
HPA028476: AB_10599974, HPA028486: AB_10600206, HPA028563: AB_10602286	Supported
CAB015158: AB_2231645, HPA028760: AB_10601323	Supported
CAB002210: AB_563731, HPA027505: AB_10600107, HPA030188: AB_10601749, HPA030189: AB_10601999	Enhanced
HPA073099: 	Supported
CAB016132: AB_627613, HPA007084: AB_1848638, HPA008903: AB_1848640	Enhanced
CAB000356: , HPA000368: , HPA001016: , HPA001115: AB_1078871, HPA002925: AB_1078869	Enhanced
CAB019322: , HPA004747: AB_1848599, HPA004886: AB_1848600	Supported
HPA006135: AB_1848602	Supported
CAB007766: AB_562116, HPA001393: AB_1078892	Approved
CAB004395: AB_627618, HPA001396: AB_1078894, HPA071038: 	Supported
HPA056033: 	Supported
CAB068189: , CAB068190: , HPA011740: AB_1858737, HPA014290: AB_1858738	Supported
HPA047539: 	Approved
CAB000099: , HPA046519: , HPA067906: 	Approved
HPA046646: 	Approved
HPA040753: AB_10794880, HPA041001: AB_10794259	Enhanced
HPA041354: AB_10795007	Approved
HPA045663: , HPA050553: 	Approved
HPA005465: AB_1859515, HPA046786: AB_10963545	Supported
HPA050649: 	Approved
HPA008129: AB_1848963, HPA028288: AB_10612110	Approved
HPA005464: AB_1848965	Approved
HPA002552: AB_1078862, HPA023201: AB_1848575	Supported
HPA049100: , HPA072438: 	Approved
HPA012373: AB_1848975	Supported
CAB012444: AB_732400, HPA050118: , HPA056084: 	Enhanced
HPA059151: , HPA061358: 	Approved
HPA056172: , HPA065831: 	Approved
HPA065273: 	Supported
HPA039485: , HPA040029: AB_2676808	Enhanced
HPA030962: AB_10696212, HPA030963: 	Approved
HPA041341: AB_10794991	Approved
HPA008927: AB_1078899, HPA012825: AB_1848985	Approved
HPA007859: AB_1078900	Approved
HPA051804: , HPA063581: 	Approved
HPA028079: AB_10602501, HPA054297: 	Approved
HPA042779: AB_10794386, HPA052758: , HPA072420: 	Supported
CAB010149: AB_2106299, HPA018830: AB_1848992	Approved
HPA062743: 	Approved
HPA054119: 	Uncertain
HPA036971: , HPA036972: , HPA064559: 	Approved
HPA055015: 	Uncertain
HPA077030: 	Approved
HPA040599: AB_10794036	Supported
HPA018531: AB_1846576	Supported
CAB010267: AB_640583, HPA054663: 	Supported
CAB004396: AB_627632, HPA030728: 	Supported
CAB013460: , HPA004817: AB_1849014, HPA061417: 	Enhanced
CAB011595: AB_2104842, HPA050505: 	Supported
CAB001388: AB_2262810, HPA066846: 	Supported
CAB015154: AB_647545, HPA054034: 	Approved
HPA073369: 	Approved
HPA040670: AB_10673412	Supported
HPA056302: 	Supported
HPA012836: AB_2105429	Approved
HPA012836: AB_2105429	Approved
HPA012836: AB_2105429	Approved
HPA012836: AB_2105429	Approved
HPA012836: AB_2105429	Approved
HPA012836: AB_2105429	Approved
HPA028886: AB_10601652	Approved
HPA071469: 	Uncertain
HPA008723: AB_1078903	Supported
HPA067284: 	Approved
HPA017998: AB_1849077, HPA018864: AB_1849079	Supported
HPA027523: AB_10601013, HPA073491: 	Supported
HPA069613: 	Supported
HPA061017: , HPA071790: 	Enhanced
CAB017832: 	Supported
HPA003485: AB_1078905	Supported
HPA059209: 	Approved
HPA050018: 	Approved
CAB022326: , HPA001252: AB_1078906	Supported
CAB004074: AB_2106672, HPA063104: 	Enhanced
HPA039560: , HPA040232: 	Supported
CAB011501: AB_732428, HPA003876: AB_1078907	Enhanced
HPA000382: AB_1078908, HPA000383: AB_1078909, HPA001679: 	Enhanced
CAB026301: , HPA045943: 	Supported
HPA007176: AB_1078911	Approved
HPA059700: 	Supported
HPA034487: AB_10795354, HPA057358: AB_2683418	Supported
HPA039620: , HPA046192: 	Supported
HPA042475: AB_10964265	Approved
HPA024573: AB_1855963	Approved
HPA029179: 	Approved
HPA018517: 	Approved
HPA072331: 	Uncertain
HPA072331: 	Approved
HPA046550: , HPA061744: 	Approved
CAB046472: AB_1849131, HPA055258: 	Approved
HPA049763: 	Approved
HPA028831: AB_10603668	Approved
CAB025217: , HPA030479: 	Supported
HPA030347: AB_10600207	Approved
HPA017285: 	Approved
HPA038449: AB_10669539	Approved
HPA001297: AB_1078913	Approved
HPA002861: AB_1078878, HPA005506: 	Approved
HPA038323: 	Uncertain
HPA030162: AB_10599976, HPA030174: AB_10602093	Uncertain
HPA031106: AB_10600660, HPA031107: AB_10600536	Approved
HPA025059: , HPA026509: AB_10602307	Supported
CAB000121: AB_2278596, CAB035991: , HPA005723: AB_1849159, HPA050654: 	Supported
HPA035138: AB_10601324	Approved
HPA046263: 	Approved
HPA041002: AB_10796565	Uncertain
HPA036139: AB_10602134	Approved
HPA035251: AB_10601906, HPA040815: 	Approved
CAB024899: , HPA045378: 	Approved
HPA045920: AB_10965844	Approved
HPA020073: AB_1849005, HPA030928: AB_2673664, HPA030929: AB_2673665, HPA036114: AB_2674947	Approved
HPA065748: 	Uncertain
CAB008623: 	Approved
CAB020769: , HPA041602: 	Approved
CAB017123: , HPA041086: , HPA068695: 	Approved
HPA002718: AB_1078914	Approved
HPA055544: , HPA062628: 	Enhanced
HPA006149: AB_1849172	Enhanced
HPA047658: , HPA058392: 	Approved
HPA041971: AB_10795648	Approved
CAB009499: AB_2105095	Supported
CAB033036: AB_2105208, CAB058691: , HPA008784: AB_1849181	Enhanced
HPA053970: , HPA058655: 	Approved
HPA014033: AB_1849192	Approved
HPA014402: AB_1849194	Uncertain
CAB000014: , CAB016129: AB_626918	Supported
HPA043707: , HPA046966: 	Supported
HPA042780: 	Approved
CAB017129: , HPA040863: , HPA043410: 	Supported
HPA070923: 	Approved
HPA041779: AB_10793974, HPA042196: AB_10797383	Approved
CAB022164: , HPA068304: 	Supported
HPA018246: AB_1849204, HPA055475: 	Enhanced
CAB011205: AB_476964, HPA022997: AB_1849208	Supported
HPA026873: AB_1855471	Approved
HPA064218: , HPA068838: 	Approved
HPA010856: AB_1078915	Approved
HPA010817: AB_1849214	Approved
HPA041334: AB_10970752, HPA042284: 	Approved
HPA068838: , HPA075209: 	Approved
CAB025336: , HPA026796: AB_10964126	Approved
HPA035526: AB_10672867, HPA057966: 	Enhanced
CAB005034: AB_562117, CAB018387: AB_627642, HPA023887: AB_1849226, HPA063770: 	Enhanced
HPA054474: 	Supported
CAB013008: 	Supported
HPA014484: AB_1849132, HPA014485: AB_1849134	Approved
HPA057667: 	Approved
HPA042328: AB_10962494, HPA074833: 	Approved
HPA017991: AB_1849138	Approved
HPA059979: , HPA069165: , HPA076183: 	Supported
HPA045025: AB_10795888, HPA071142: 	Approved
HPA043536: AB_10968058	Supported
HPA001601: AB_1079198	Approved
CAB037068: AB_1840864, HPA004052: AB_1849348	Supported
HPA018304: AB_1849350, HPA018425: AB_1849352	Enhanced
HPA067052: 	Supported
HPA000247: AB_1078978, HPA000834: AB_1078977	Enhanced
CAB034333: AB_2107855, HPA066404: 	Approved
CAB022159: , HPA000271: AB_1078925, HPA001368: 	Supported
HPA065883: 	Approved
HPA051386: , HPA065883: 	Approved
HPA036726: AB_10672476	Uncertain
HPA050483: , HPA058459: 	Approved
CAB004411: AB_627648, HPA003258: AB_1078928, HPA028791: AB_10602598	Enhanced
HPA019653: AB_1849370, HPA067444: 	Supported
HPA028471: AB_10602319, HPA058483: 	Supported
CAB079022: , HPA077031: 	Supported
HPA044371: 	Uncertain
CAB004415: AB_627650, CAB078176: , HPA031949: , HPA058412: 	Approved
HPA053420: 	Supported
HPA029816: AB_10601325	Approved
HPA055205: , HPA065048: , HPA071910: 	Enhanced
HPA039160: AB_10796222, HPA040229: AB_10796118	Approved
HPA043232: 	Approved
HPA043232: 	Uncertain
HPA043232: 	Approved
HPA043232: 	Approved
HPA043232: 	Uncertain
HPA043232: 	Approved
HPA043232: 	Approved
HPA043232: 	Approved
HPA043232: 	Approved
HPA043232: 	Approved
HPA043232: 	Approved
HPA043232: 	Approved
HPA027405: AB_10611111, HPA027459: AB_10599948, HPA027463: AB_10601959	Supported
CAB079779: , HPA049864: 	Supported
HPA001220: AB_1078933	Approved
HPA038137: AB_10697239, HPA038138: 	Approved
HPA007340: AB_1078934	Approved
HPA007094: AB_1078939, HPA016960: AB_1849430	Approved
HPA043564: AB_2678557, HPA048267: 	Approved
HPA035472: AB_10669906, HPA035473: AB_2674642, HPA064835: AB_2732723	Approved
CAB026404: , HPA042433: 	Approved
HPA007525: AB_1849443	Approved
HPA030138: 	Approved
HPA017076: AB_1849458	Approved
HPA059136: 	Approved
HPA013624: AB_1858787, HPA047986: 	Uncertain
HPA012955: AB_1849460	Approved
HPA011222: AB_1849446	Supported
HPA007613: AB_1078941	Supported
HPA076116: 	Approved
HPA008963: AB_1078942, HPA009035: AB_1078943	Approved
HPA011762: AB_1849450, HPA017086: AB_1849452	Approved
HPA064243: AB_2685223, HPA065317: AB_2685465	Approved
HPA012638: AB_2294503, HPA073461: 	Approved
HPA075016: 	Approved
HPA004868: AB_1079130, HPA005729: AB_1079131	Approved
CAB011825: AB_732515, HPA049473: 	Supported
HPA026874: AB_1849745, HPA061426: AB_2684516	Approved
HPA016949: AB_1849465	Approved
CAB004417: AB_627660, CAB078783: AB_2620096, HPA013392: AB_1849468, HPA015600: AB_1849466	Enhanced
CAB005197: AB_641107, CAB016392: AB_627678, HPA040067: AB_10965903, HPA061280: AB_2684463	Supported
HPA042666: 	Approved
HPA029386: AB_10599604, HPA029387: AB_10600311	Enhanced
HPA059098: 	Supported
HPA040709: , HPA042046: 	Approved
HPA071575: 	Approved
HPA028757: AB_2294383, HPA074886: 	Approved
HPA017896: AB_1849478, HPA019097: AB_1849480	Supported
HPA002119: AB_1849482, HPA005779: AB_1849484	Uncertain
CAB024164: AB_2107950, HPA036085: , HPA066902: 	Approved
HPA058904: 	Approved
HPA019858: AB_1849486	Approved
HPA008275: AB_1849497, HPA056080: 	Approved
HPA004838: AB_2667263, HPA064678: 	Approved
HPA041311: , HPA048238: 	Approved
CAB009195: AB_2232148, HPA000232: AB_1078949, HPA000233: AB_1078951	Supported
CAB024847: , HPA005633: AB_1078954	Supported
CAB016217: AB_2108591, HPA029730: AB_10601907	Supported
CAB013125: AB_2533804, HPA073899: 	Supported
HPA067583: 	Approved
CAB011581: AB_732529, HPA066629: 	Supported
HPA006105: AB_1078956, HPA072785: 	Enhanced
HPA006759: AB_1079549, HPA024373: AB_1849522	Enhanced
HPA017015: AB_1854905	Enhanced
HPA042610: AB_10797502	Supported
HPA008812: AB_10962724	Supported
HPA026077: AB_1849528	Supported
HPA024026: AB_1849530	Approved
HPA038073: AB_10673040, HPA038074: AB_10672403, HPA038075: AB_10674545	Approved
HPA037759: AB_10671884, HPA037760: 	Supported
CAB045975: AB_10584474, HPA042682: 	Supported
HPA030101: AB_10601654, HPA062039: 	Supported
HPA067809: 	Approved
HPA035033: AB_10669854, HPA035034: AB_10669900	Supported
HPA020460: AB_1849548	Supported
HPA019369: AB_1849552, HPA021323: AB_1849554	Supported
HPA035849: AB_10671941, HPA035850: 	Enhanced
HPA043252: AB_2678390, HPA048492: AB_2680418	Supported
HPA077882: 	Supported
CAB000040: AB_10013726, HPA036760: AB_2675296, HPA036761: AB_2675297	Approved
HPA071228: 	Approved
HPA028612: AB_10602135	Supported
HPA046258: AB_10967205	Supported
HPA007034: AB_1079050, HPA007093: AB_1079051	Approved
CAB034098: AB_2247323, HPA064305: 	Approved
CAB009569: AB_675582, HPA036359: AB_10672243, HPA036360: AB_10669789	Approved
CAB009568: AB_2107835, CAB040554: , HPA023696: AB_1849560	Approved
HPA011343: , HPA073469: 	Approved
HPA018799: AB_1849565, HPA019648: AB_1849567, HPA024367: AB_1849569	Enhanced
HPA023476: AB_1844530	Approved
HPA003522: , HPA003523: , HPA031151: AB_10602904	Supported
HPA026776: AB_1849573	Supported
HPA011154: AB_1078961	Approved
HPA037431: AB_10670382	Supported
HPA039827: AB_10673364, HPA068141: 	Approved
HPA027507: AB_10600756, HPA027510: 	Approved
HPA058578: 	Uncertain
HPA041368: AB_10804001	Approved
HPA019352: AB_1855593, HPA024099: AB_1855594, HPA030387: AB_10602351	Approved
HPA014266: AB_1849581, HPA024334: AB_1849583	Supported
HPA054182: , HPA063265: 	Approved
HPA046185: AB_10960897	Approved
HPA074747: 	Approved
HPA015498: AB_1849584	Approved
HPA060985: , HPA069609: 	Approved
CAB062554: , HPA011191: AB_1078962, HPA070957: 	Enhanced
HPA045206: AB_10962508	Supported
CAB012979: AB_2533970, HPA049290: , HPA057668: 	Approved
CAB005210: AB_2247684, HPA070283: 	Approved
HPA041148: AB_10794545, HPA041470: AB_10795121	Approved
HPA065257: , HPA066762: , HPA069281: 	Approved
HPA048189: , HPA059841: 	Approved
CAB015426: AB_629517, HPA046570: , HPA057114: 	Supported
HPA065699: , HPA067891: 	Supported
HPA037392: , HPA037393: AB_10672489	Enhanced
HPA035726: AB_10669528, HPA035727: 	Supported
HPA052075: 	Supported
HPA028613: AB_10602905	Supported
HPA020078: , HPA021141: 	Approved
HPA019765: AB_1845750	Supported
CAB000039: AB_10013382, HPA056030: , HPA063513: 	Supported
HPA041227: AB_10795538, HPA063553: 	Enhanced
CAB004420: AB_2110132, HPA006291: 	Supported
HPA034764: AB_2674320, HPA034765: AB_10669849, HPA061405: AB_2684505	Approved
HPA036863: , HPA069871: 	Approved
HPA029096: AB_10602320	Approved
HPA040939: AB_10796564, HPA041112: AB_10794541	Supported
HPA047240: 	Approved
HPA056892: , HPA059910: 	Supported
HPA043829: 	Approved
CAB032791: AB_2110428, HPA024704: AB_1849629	Uncertain
HPA020731: AB_1849635	Uncertain
HPA048280: , HPA051016: 	Supported
CAB034422: AB_2110748, HPA043313: , HPA063634: 	Enhanced
HPA022945: AB_1849639, HPA024645: 	Supported
HPA018914: AB_2294667, HPA073392: 	Approved
HPA045635: , HPA047534: , HPA065444: 	Approved
HPA045635: , HPA047534: , HPA065444: 	Approved
CAB032489: AB_2111010, HPA008121: AB_1078965	Approved
HPA013204: AB_1850347, HPA013339: 	Approved
HPA016464: AB_1849656, HPA061664: 	Supported
HPA045339: , HPA057705: 	Supported
HPA044348: AB_10959602	Approved
HPA049929: , HPA055047: 	Supported
HPA020999: AB_2111744, HPA023995: AB_1855221	Approved
HPA050899: , HPA054612: , HPA059918: , HPA065064: 	Enhanced
HPA044887: AB_10960351, HPA053441: 	Supported
HPA053441: 	Supported
HPA020266: AB_1849680, HPA020268: AB_1849682	Supported
HPA037402: AB_10672790, HPA061362: 	Approved
HPA017210: AB_1845743, HPA041679: 	Approved
HPA051185: AB_2681378	Approved
HPA057285: AB_2683398	Supported
HPA041216: AB_10794989, HPA048209: 	Enhanced
HPA024663: AB_1857224, HPA026580: AB_1857225	Supported
HPA043958: AB_10963436, HPA061786: AB_2756319	Approved
HPA051212: , HPA062684: 	Approved
HPA067765: 	Approved
HPA004059: AB_1078966, HPA004186: AB_1078967	Supported
CAB004681: AB_425820	Approved
CAB010753: AB_476857, HPA035097: , HPA047551: , HPA069245: 	Supported
CAB013093: AB_2533903, HPA014362: 	Approved
HPA074472: 	Supported
HPA055112: , HPA073904: 	Supported
HPA014846: AB_1847135	Supported
HPA071788: 	Uncertain
HPA069619: 	Supported
HPA042606: AB_10795509, HPA057998: 	Approved
HPA035117: , HPA035118: AB_10671100, HPA066173: AB_2732740	Approved
CAB008382: AB_590642, HPA040610: , HPA069503: 	Supported
HPA054808: , HPA059955: 	Supported
HPA001674: AB_1078971, HPA005987: AB_1078970	Approved
HPA040481: , HPA048216: 	Approved
HPA002318: AB_1849700, HPA052887: 	Supported
HPA041689: , HPA043538: , HPA061560: 	Supported
HPA010815: AB_2232486	Supported
CAB009460: AB_2111764, HPA065172: , HPA068903: 	Enhanced
CAB008558: AB_2111910, HPA074275: 	Supported
HPA023131: 	Approved
HPA039795: AB_10805595, HPA039866: AB_10795235	Approved
HPA029478: AB_10670038	Uncertain
HPA056976: 	Approved
HPA056426: 	Supported
HPA031446: , HPA031448: 	Approved
CAB040541: , CAB040542: , HPA059791: 	Supported
HPA021623: AB_1844365, HPA023246: AB_1844366, HPA023248: AB_1844367	Approved
HPA010667: AB_1078975	Uncertain
CAB022690: , HPA049244: 	Supported
CAB008634: AB_1616672, CAB069419: AB_1616670, HPA046431: 	Approved
HPA023087: AB_1849778, HPA057224: 	Supported
HPA042465: AB_10794048, HPA063716: 	Supported
HPA036223: AB_10669984	Supported
HPA039051: AB_10673299, HPA039052: AB_10672839	Enhanced
HPA010588: AB_1078098	Approved
HPA012740: , HPA026904: AB_1849731, HPA070791: 	Approved
HPA056461: 	Supported
HPA058295: , HPA065267: 	Approved
HPA042492: , HPA044839: , HPA061369: 	Supported
HPA042492: , HPA044839: , HPA061369: 	Supported
CAB008636: AB_1616669, HPA007316: AB_1078981, HPA007571: AB_1078980	Supported
HPA039501: 	Uncertain
HPA039501: 	Uncertain
HPA060292: , HPA065454: 	Approved
HPA006913: AB_1078993	Approved
CAB017022: , HPA048226: AB_2680320, HPA050136: AB_2681028	Supported
HPA044811: AB_10959666, HPA052975: 	Enhanced
HPA009706: AB_1078996, HPA067455: 	Enhanced
HPA002954: AB_1078997	Approved
HPA002954: AB_1078997	Approved
HPA042484: , HPA045481: 	Enhanced
CAB011458: AB_2110946, CAB047327: , CAB047328: , HPA049977: , HPA054597: 	Enhanced
HPA035512: , HPA035513: AB_10671934	Approved
HPA014657: AB_1849852	Supported
HPA000904: AB_1078998, HPA067884: , HPA068782: 	Approved
HPA046630: 	Approved
