To pos,well,well_plate,Antibody,Gene,Uniprot,U-2 OS (tpm),Gene desc,Protein class,ENSG,candidate,comment_variation,IF antibody state,IF antibody location score,IF antibody score,IF main antibody location,IF additional antibody location,IF spatial var,IF intensity var,IF spatial corr,IF intensity corr,IF siRNA score,WB overall score,WB U-251MG score,WB RT4 score
310,A04,A04_6720,HPA035011,PCNP,Q8WW12,111.96,PEST proteolytic signal containing nuclear protein,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000081154,Diana,,1000: Finished IF,Nucleoplasm - 1 [3]: Supportive (auto);Nuclear bodies - 3: Supportive (auto),2:Supportive,Nucleoplasm,Nuclear bodies,,Nuclear bodies,,,,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,4:No bands detected.
311,B04,B04_6720,HPA035354,BARD1,Q99728,12.65,BRCA1 associated RING domain 1,Cancer-related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000138376,Diana,,1000: Finished IF,Nuclear speckles - 3: Supportive (manual);Cytoplasmic bodies - 12: Uncertain (auto),2:Supportive,Nuclear speckles,Cytoplasmic bodies,,Cytoplasmic bodies,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.
312,C04,C04_6720,HPA035840,ACOX3,O15254,6.28,"acyl-CoA oxidase 3, pristanoyl",Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000087008,Christian,,1000: Finished IF,Peroxisomes - 7: Approved (auto),3:Approved,Peroxisomes,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
313,D04,D04_6720,HPA035851,ABHD5,Q8WTS1,15.72,abhydrolase domain containing 5,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000011198,Christian,,1000: Finished IF,Vesicles - 5: Approved (auto);Cytosol - 3: Supportive (auto);Nucleoplasm - 12: Uncertain (auto),3:Approved,Vesicles,Nucleoplasm;Cytosol,,,,,,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
314,E04,E04_6720,HPA036738,TOPBP1,Q92547,43.88,DNA topoisomerase II binding protein 1,Cytoskeleton related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000163781,Diana,,1000: Finished IF,Nuclear bodies - 3: Supportive (auto);Nucleoplasm - 3: Supportive (auto);Vesicles - 12: Uncertain (auto);Actin filaments - 12: Uncertain (auto),2:Supportive,Nucleoplasm;Nuclear bodies,Vesicles;Actin filaments,,,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
315,F04,F04_6720,HPA036743,GNL3,Q9BVP2,94.48,G protein nucleolar 3,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000163938,Diana,,1000: Finished IF,Nucleoli - 3: Supportive (manual);Nuclear bodies - 3: Supportive (manual),2:Supportive,Nucleoli,Nuclear bodies,,Nuclear bodies,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
316,G04,G04_6720,HPA036887,RIF1,Q5UIP0,24.59,replication timing regulatory factor 1,Cytoskeleton related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000080345,Diana,,1000: Finished IF,Plasma membrane - 12: Uncertain (auto);Nucleoplasm - 3: Supportive (auto);Nuclear membrane - 3: Supportive (auto);Nuclear bodies - 3: Supportive (auto),2:Supportive,Nucleoplasm;Plasma membrane,Nuclear membrane;Nuclear bodies,Nucleoplasm;Nuclear membrane;Nuclear bodies,Plasma membrane,,,,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.
317,H04,H04_6720,HPA037366,NOLC1,Q14978,96.14,nucleolar and coiled-body phosphoprotein 1,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000166197,Diana,,1000: Finished IF,Nucleoli fibrillar center - 1 [3]: Supportive (manual),2:Supportive,Nucleoli fibrillar center,,,,,,,7:Only bands not corresponding to the predicted size.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,7:Only bands not corresponding to the predicted size.
318,A05,A05_6720,HPA037502,AADAT,Q8N5Z0,14.02,aminoadipate aminotransferase,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000109576,Christian,,1000: Finished IF,Plasma membrane - 7: Approved (?);Vesicles - 7: Approved (?),3:Approved,Plasma membrane,Vesicles,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
319,B05,B05_6720,HPA037912,RUNX1,Q01196,33.83,runt related transcription factor 1,Cancer related proteins;Cancer-related genes;Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);Transcription factors;Transcription factors predicted,ENSG00000159216,Diana,,1000: Finished IF,Nucleoplasm - 1 [3]: Supportive (auto);Vesicles - 6 [12]: Approved (auto),2:Supportive,Nucleoplasm,Vesicles,,Nucleoplasm,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
320,C05,C05_6720,HPA038059,CSE1L,P55060,244.93,chromosome segregation 1 like,Cancer-related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);Transporters,ENSG00000124207,Diana,,1000: Finished IF,Nucleoplasm - 1 [3]: Supportive (auto);Cytosol - 1 [3]: Supportive (auto),2:Supportive,Nucleoplasm,Cytosol,,Nucleoplasm,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).,2:Band of predicted size in kDa (+/-20%) with additional bands present.
321,D05,D05_6720,HPA039618,GTPBP4,Q9BZE4,16.99,GTP binding protein 4,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000107937,Diana,,1000: Finished IF,Nucleoli - 3: Supportive (auto);Nuclear membrane - 12: Uncertain (auto);Cytosol - 12: Uncertain (auto);Nucleoplasm - 12: Uncertain (auto),2:Supportive,Nucleoli,Nucleoplasm;Nuclear membrane;Cytosol,,Nuclear membrane;Nucleoli,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
322,E05,E05_6720,HPA040119,NOP2,P46087,65.41,NOP2 nucleolar protein,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000111641,Diana,,1000: Finished IF,Nucleoli - 3: Supportive (auto),2:Supportive,Nucleoli,,,Nucleoli,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
323,F05,F05_6720,HPA040394,CTDP1,Q9Y5B0,19.61,CTD phosphatase subunit 1,Cytoskeleton related proteins;Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000060069,Diana,,974: Further evaluation IF,Nuclear speckles - 3: Supportive (auto);Actin filaments - 12: Uncertain (auto),2:Supportive,Nuclear speckles,Actin filaments,,Actin filaments,,,,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
324,G05,G05_6720,HPA040459,FAM96A,Q9H5X1,110.83,family with sequence similarity 96 member A,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000166797,Diana,,1000: Finished IF,Nucleoplasm - 2 [7]: Supportive (manual);Cytosol - 1 [3]: Supportive (manual),2:Supportive,Nucleoplasm,Cytosol,Nucleoplasm;Cytosol,Nucleoplasm,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
325,H05,H05_6720,HPA040503,CEP192,Q8TEP8,27.69,centrosomal protein 192,Cytoskeleton related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000101639,Diana,,1000: Finished IF,Cytosol - 12: Uncertain (auto);Centrosome - 3: Supportive (auto),2:Supportive,Centrosome;Cytosol,,,Cytosol,,,,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
326,A06,A06_6720,HPA041458,ACADSB,P45954,4.71,acyl-CoA dehydrogenase short/branched chain,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000196177,Christian,,1000: Finished IF,Mitochondria - 3: Supportive (auto),2:Supportive,Mitochondria,,,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
327,B06,B06_6720,HPA042589,AHCYL1,O43865,69.78,adenosylhomocysteinase like 1,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000168710,Christian,,1000: Finished IF,Cytosol - 7: Approved (manual),3:Approved,Cytosol,,,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
328,C06,C06_6720,HPA043524,KCTD13,Q8WZ19,3.23,potassium channel tetramerization domain containing 13,Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000174943,Diana,,1000: Finished IF,Nuclear bodies - 3: Supportive (auto);Nucleoplasm - 3: Supportive (auto),2:Supportive,Nucleoplasm;Nuclear bodies,,Nucleoplasm;Nuclear bodies,,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
329,D06,D06_6720,HPA044956,LZTS2,Q9BRK4,45.10,leucine zipper tumor suppressor 2,Cytoskeleton related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);Transcription factors predicted,ENSG00000107816,Diana,,1000: Finished IF,Plasma membrane - 12: Uncertain (auto);Cytosol - 3: Supportive (auto),2:Supportive,Plasma membrane;Cytosol,,,Plasma membrane,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,6:Weak band of predicted size but with additional bands of higher intensity also present.
330,E06,E06_6720,HPA048071,LIG1,P18858,57.09,DNA ligase 1,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000105486,Diana,,1000: Finished IF,Vesicles - 12: Uncertain (auto);Nucleoplasm - 3: Supportive (auto),2:Supportive,Nucleoplasm;Vesicles,,,Vesicles,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,1:Single band corresponding to the predicted size in kDa (+/-20%).,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
331,F06,F06_6720,HPA048483,ABCC3,O15438,3.61,ATP binding cassette subfamily C member 3,Cancer-related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);Transporters,ENSG00000108846,Christian,,1000: Finished IF,Plasma membrane - 8: Approved (auto),3:Approved,Plasma membrane,,,,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
332,G06,G06_6720,HPA049341,UTP20,O75691,13.06,"UTP20, small subunit processome component",Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000120800,Diana,,1000: Finished IF,Nucleoli - 3: Supportive (auto);Plasma membrane - 12: Uncertain (auto),2:Supportive,Nucleoli,Plasma membrane,,Nucleoli,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
333,H06,H06_6720,HPA049408,UHRF1,Q96T88,80.39,ubiquitin like with PHD and ring finger domains 1,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000276043,Diana,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto),2:Supportive,Nucleoplasm,,,Nucleoplasm,,,,8:Target too small/large to be analyzed with the present setup.,8:Target too small/large to be analyzed with the present setup.,8:Target too small/large to be analyzed with the present setup.
334,A07,A07_6720,HPA049461,AK4,P27144,38.17,adenylate kinase 4,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Peptideatlas),ENSG00000162433,Christian,,1000: Finished IF,Mitochondria - 3: Supportive (auto),2:Supportive,Mitochondria,,,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,4:No bands detected.
335,B07,B07_6720,HPA049511,MISP,Q8IVT2,15.73,mitotic spindle positioning,Cytoskeleton related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000099812,Diana,,1000: Finished IF,Plasma membrane - 2 [8]: Supportive (manual);Focal adhesion sites - 1 [3]: Supportive (auto),2:Supportive,Plasma membrane,Focal adhesion sites,,Plasma membrane,,,,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,4:No bands detected.,4:No bands detected.
